experiment,task,duo_n_runs,duo_max_mean,duo_max_std,duo_nmax_mean,duo_nmax_std,gtg_n_runs,gtg_max_mean,gtg_max_std,gtg_nmax_mean,gtg_nmax_std,duo_mfull_n_runs,duo_mfull_max_mean,duo_mfull_max_std,duo_mfull_nmax_mean,duo_mfull_nmax_std,duo_mfull_text_n_runs,duo_mfull_text_max_mean,duo_mfull_text_max_std,duo_mfull_text_nmax_mean,duo_mfull_text_nmax_std,duo_st_text_n_runs,duo_st_text_max_mean,duo_st_text_max_std,duo_st_text_nmax_mean,duo_st_text_nmax_std
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,superconductor,5,100.741,12.287,0.545,0.066,,,,,,5,100.741,12.287,0.545,0.066,8,112.23,8.1,0.607,0.044,5,76.99,3.889,0.416,0.021
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,tfbind8,5,0.724,0.073,0.724,0.073,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,tfbind10,5,0.632,0.171,0.625,0.043,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,gtopx2,5,-110.869,13.664,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,gtopx3,5,-51.175,14.311,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,gtopx4,5,-63.167,13.669,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,gtopx6,5,-61.664,10.439,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,ant,5,556.976,12.395,0.966,0.013,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,dkitty,5,305.991,8.229,0.971,0.007,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,superconductor,5,96.206,7.529,0.52,0.041,,,,,,5,100.741,12.287,0.545,0.066,8,112.23,8.1,0.607,0.044,5,76.99,3.889,0.416,0.021
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,tfbind8,5,0.803,0.042,0.803,0.042,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,tfbind10,5,0.61,0.097,0.619,0.024,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,gtopx2,5,-119.974,16.985,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,gtopx3,5,-58.165,18.449,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,gtopx4,5,-75.994,17.126,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_f6fca707c7e948df,gtopx6,5,-72.592,7.475,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/ant_dkitty_frac1.0_sigma0.0/2000x64_k20_eps0.05,ant,5,566.325,13.636,0.976,0.014,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/ant_dkitty_frac1.0_sigma0.0/2000x64_k20_eps0.05,dkitty,5,270.165,38.116,0.942,0.031,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
multi_task/ant_dkitty_frac1.0_sigma0.0/2000x64_k20_eps0.05_ret,ant,5,561.97,13.317,0.971,0.014,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/ant_dkitty_frac1.0_sigma0.0/2000x64_k20_eps0.05_ret,dkitty,5,283.23,28.7,0.953,0.023,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
